t-SNE 1,t-SNE 2,Class
-3.9305577,-10.53753,chantelle
-2.7885845,-10.854435,chantelle
32.919403,-8.541408,chantelle
11.522776,2.3969655,chantelle
0.942367,-6.2832985,chantelle
32.42818,-9.081384,chantelle
6.28336,3.0135922,chantelle
-16.25849,15.452278,chantelle
-13.509762,9.567291,chantelle
3.0816891,-3.710643,chantelle
-8.586708,17.505861,chantelle
1.5973485,-5.504735,chantelle
1.7947338,-8.706638,chantelle
5.2251916,-7.7639065,chantelle
22.920332,-3.9655135,chantelle
-5.027979,7.7778244,chantelle
3.2383065,5.291591,chantelle
-12.280004,9.098019,chantelle
16.136269,-4.287649,chantelle
2.5932384,-4.2078567,chantelle
-10.004961,-1.1959476,chantelle
-1.6093832,-1.1888595,chantelle
4.436057,-7.145724,chantelle
-13.044976,0.23064598,chantelle
-1.3306112,7.466713,chantelle
4.943008,-8.623578,chantelle
-18.099966,-1.0042125,chantelle
4.244555,-10.640355,chantelle
7.676423,-2.2191548,chantelle
-13.89532,-4.7243543,chantelle
3.480699,-10.185554,chantelle
-11.418161,11.359227,chantelle
4.6941037,-10.085048,chantelle
-6.1723986,3.7097123,chantelle
19.858475,-5.317262,chantelle
-16.84123,0.26106256,chantelle
-2.7208776,-7.7872815,chantelle
-12.64022,6.529228,chantelle
-2.0837479,5.9484234,chantelle
-19.934858,6.821261,chantelle
18.529812,-6.4495244,chantelle
24.029127,-6.566112,deterrimus
-4.3308034,12.781615,deterrimus
-3.0608284,-0.8652429,deterrimus
-12.121206,9.680996,deterrimus
1.0882514,9.096956,deterrimus
6.3319945,-10.299543,deterrimus
-8.583571,10.90085,deterrimus
-0.09228485,-0.31299493,deterrimus
6.913568,4.54975,deterrimus
-10.2608185,-3.1521587,deterrimus
-12.142286,-10.675157,deterrimus
-5.930329,11.982182,deterrimus
-2.2649868,8.183676,deterrimus
-19.152994,9.16616,deterrimus
-10.890066,-3.7619426,deterrimus
12.771546,-12.232739,deterrimus
-14.54506,14.782442,deterrimus
13.243276,-4.2523685,deterrimus
-2.178462,-5.4316807,deterrimus
-4.7976813,-11.504695,deterrimus
3.603549,-4.829772,deterrimus
-17.352222,3.1106036,deterrimus
-14.297587,8.115739,deterrimus
-3.6529572,-12.918911,deterrimus
-12.173392,1.2113858,deterrimus
-8.127965,11.738031,deterrimus
-4.7769413,15.599991,deterrimus
-11.220975,0.63419354,deterrimus
2.1956565,1.0729159,deterrimus
-21.457842,6.3950505,deterrimus
3.6058235,-4.832274,deterrimus
33.140133,-11.802074,deterrimus
6.023913,15.352488,deterrimus
-0.23896325,-2.7385895,deterrimus
9.170035,-0.3501167,deterrimus
16.08081,-1.3958012,deterrimus
-9.421657,7.3112,deterrimus
-11.48052,-3.3415484,deterrimus
2.5670936,-10.269737,deterrimus
4.7728915,-3.9321587,deterrimus
-11.171265,-2.6885085,deterrimus
-0.74601847,-3.9059422,deterrimus
5.638255,2.516101,deterrimus
33.264156,-11.637927,deterrimus
-13.281629,-1.8026787,deterrimus
0.7593918,-1.9428258,deterrimus
-21.577251,6.4714417,deterrimus
-19.79804,6.8740425,deterrimus
17.870012,-1.1746062,deterrimus
-11.1760645,10.445684,deterrimus
-17.283218,1.4815686,deterrimus
-14.920243,4.8975368,deterrimus
-18.879147,5.3031354,deterrimus
-12.35762,-7.977131,deterrimus
13.210218,-6.388651,deterrimus
-3.512836,-7.0352106,deterrimus
5.853616,-3.960685,deterrimus
-16.762335,-0.10252004,deterrimus
-10.433857,11.412924,deterrimus
-5.7751646,-4.1382823,deterrimus
-23.180061,7.2914314,deterrimus
-15.994298,-10.541306,deterrimus
-7.3760514,-8.034824,deterrimus
-7.5002303,3.9896188,deterrimus
-16.868364,4.148438,deterrimus
5.848745,-4.4527435,deterrimus
-15.737115,0.058427718,deterrimus
-0.9662021,-6.73627,deterrimus
-3.0740645,-3.3234491,deterrimus
-4.6222267,-0.76224524,deterrimus
-9.843006,11.125969,deterrimus
-3.5533133,-3.1830275,deterrimus
32.23308,-7.259735,deterrimus
-17.867424,4.291437,deterrimus
11.509792,-3.4169602,deterrimus
32.598988,-9.364407,deterrimus
-15.127546,11.355624,deterrimus
-2.7638693,1.9002445,deterrimus
-5.0196977,-6.05185,deterrimus
-12.996676,1.1741166,deterrimus
-11.050065,13.629372,deterrimus
-1.3502911,8.12478,deterrimus
-10.746953,-10.906728,deterrimus
-16.082745,-4.7863665,deterrimus
-7.548798,-7.521188,deterrimus
4.583326,-12.191219,deterrimus
19.327007,10.340192,deterrimus
-15.704046,10.167664,deterrimus
-15.823397,2.696945,deterrimus
-10.3185625,4.8431654,deterrimus
-14.344753,1.2331434,deterrimus
8.612452,-2.5391572,deterrimus
-17.82882,7.744875,deterrimus
5.8176203,-5.1632733,deterrimus
16.265194,-2.16185,deterrimus
-12.765634,4.4439263,deterrimus
-7.9027452,1.022639,deterrimus
17.929249,-1.3666126,deterrimus
-6.1532345,11.360151,deterrimus
-7.304828,6.828902,deterrimus
-19.961208,8.60375,deterrimus
-1.533662,-11.667619,deterrimus
-0.6791894,-10.582708,deterrimus
19.748676,10.449638,deterrimus
-15.714132,-4.6663637,deterrimus
7.9725165,-3.6831388,deterrimus
-0.76303834,-7.672084,deterrimus
-9.518237,12.994188,deterrimus
-7.8640323,13.384194,deterrimus
-11.644779,-8.542718,deterrimus
-2.2913451,-4.62327,deterrimus
-14.680331,13.33471,deterrimus
-8.193924,-5.385891,deterrimus
6.4953094,-2.7741191,deterrimus
-15.741514,-4.7702594,deterrimus
27.40994,-6.3346663,deterrimus
20.184679,2.4319925,deterrimus
11.579628,-6.84912,deterrimus
-8.121713,3.9655857,deterrimus
-13.808643,9.554853,deterrimus
29.445196,-8.149772,deterrimus
8.216727,1.3016887,deterrimus
-15.7915945,-4.7079988,deterrimus
-10.8564205,3.488013,deterrimus
-11.72611,7.047924,deterrimus
9.15219,-4.284026,deterrimus
34.38134,-6.382707,deterrimus
19.46641,10.579053,deterrimus
-15.32561,5.284535,deterrimus
7.109444,-8.934828,deterrimus
