UMAP 1,UMAP 2,Class
-1.5417656,8.742398,boletus
-4.6262813,6.206557,boletus
1.1340666,8.67541,boletus
-0.53147686,8.496113,boletus
-2.6910996,6.98603,boletus
-2.3394914,7.282182,boletus
-1.14872,8.033659,boletus
-2.9817286,7.755713,boletus
-3.2820554,6.3555555,boletus
-4.3596807,7.2667603,boletus
-5.729199,5.1399074,boletus
-4.5424685,5.635667,boletus
-2.6718888,8.372305,boletus
-1.2386705,8.0885935,boletus
-7.3808255,5.8803477,boletus
-1.4068182,8.225538,boletus
1.1072426,8.214247,boletus
-0.25452265,8.36743,boletus
-0.6020636,9.187899,boletus
3.6392236,7.8669834,boletus
-2.9929276,9.04048,boletus
4.469427,8.16104,boletus
-4.758151,8.283618,boletus
-1.3531725,9.006682,boletus
-5.107503,6.4679074,boletus
-4.453572,8.859163,boletus
-1.3821831,8.070722,boletus
-1.7867696,8.406428,boletus
-0.101676255,8.470123,boletus
-2.5710044,8.084503,boletus
-0.93872654,8.326997,boletus
-5.6571536,6.1016154,boletus
-4.429941,8.599081,boletus
-0.42100987,8.60436,boletus
-3.3833175,7.7870507,boletus
-3.4506843,8.203677,boletus
-1.4617293,8.189183,boletus
-2.5807228,7.833049,boletus
-4.870746,6.551903,boletus
-3.7462668,8.701043,boletus
4.202133,8.248622,boletus
-2.556288,7.65736,boletus
0.15972891,8.733217,boletus
-5.368984,6.7154613,boletus
-0.7952164,8.7116585,boletus
-3.5630765,8.134563,boletus
5.174217,7.713983,boletus
-4.6956286,6.6444006,boletus
-6.120824,7.2205276,boletus
-4.9007344,8.20134,boletus
-6.659159,6.623314,boletus
-5.4552736,5.845798,boletus
-3.872588,7.911739,boletus
-0.3196104,8.888026,boletus
-5.3639708,6.5033116,boletus
-1.010122,7.6129575,boletus
-3.6063905,8.845714,boletus
-4.382571,7.3034444,boletus
-4.0830283,8.934541,boletus
-1.4921619,8.512807,boletus
-3.851068,5.80048,boletus
4.533579,7.8607254,boletus
-4.735492,7.249716,boletus
-3.0808907,7.920777,boletus
-4.3809624,7.9805317,boletus
-2.5309622,7.2807984,boletus
-1.5287875,8.631889,boletus
4.3143506,8.181076,boletus
-3.8427196,8.778938,boletus
-0.41821432,8.4016485,boletus
-5.3283854,5.7007203,boletus
-3.377561,5.6685266,boletus
-5.161721,7.183721,boletus
0.0051123276,9.147395,boletus
-4.910654,5.9103723,boletus
-3.7445796,6.4723387,boletus
-3.6435513,6.1890264,boletus
-3.904493,6.668183,boletus
4.488995,7.9466724,boletus
-6.7415786,6.7750545,boletus
-1.1571862,7.7031207,boletus
0.4897875,8.263103,boletus
-1.6158704,8.918615,boletus
-4.683629,5.831286,boletus
4.643709,8.338832,boletus
4.757959,8.2667465,boletus
-4.3691983,5.116467,boletus
-4.389847,5.3556027,boletus
-1.2966177,8.521758,boletus
-3.8358665,5.2416134,boletus
-6.7029495,6.123574,boletus
-4.0736437,8.938214,boletus
-0.38628826,8.963209,boletus
-1.2057822,8.742944,boletus
-3.345285,5.9265957,boletus
-4.656135,6.6447215,boletus
-2.7722347,8.866226,boletus
-6.8298407,6.5833693,boletus
-3.3514493,8.026354,boletus
-3.230631,6.8861394,boletus
-1.4399942,8.658483,boletus
-3.8655965,7.5260615,boletus
-5.8376775,5.176486,boletus
4.2812257,8.159303,boletus
-4.469216,5.572144,boletus
-4.5488067,6.7560587,boletus
4.2225633,7.9813657,boletus
-2.4077604,8.320816,boletus
4.4699955,8.672727,boletus
-5.1129756,6.0307455,boletus
-6.969631,5.5442753,boletus
-4.511309,7.0670404,boletus
-3.5282714,7.588152,boletus
3.9215014,7.6955533,boletus
-2.353815,8.374913,boletus
-0.059332903,8.7272,boletus
-2.9754903,6.880044,boletus
-6.190017,5.555451,boletus
-4.43866,8.184007,boletus
4.4565277,8.104562,boletus
-1.5645741,7.912894,boletus
-5.072725,5.8588443,boletus
-4.7258472,5.812324,boletus
-5.853659,7.0638824,boletus
-0.9951558,7.926639,boletus
3.786654,7.9075785,boletus
5.160347,7.7398314,boletus
-3.6126904,7.875101,boletus
-3.478162,5.687943,boletus
-2.3102667,7.483112,boletus
0.47894377,8.52492,boletus
-1.2837735,8.356683,boletus
-5.7211957,6.4055724,boletus
-6.1174417,6.242096,boletus
-5.9317627,5.3020706,boletus
-4.0518584,7.663202,boletus
-7.0051017,6.3067513,boletus
-4.9350204,5.694883,boletus
-3.0334346,6.77458,boletus
-3.2073836,7.181867,boletus
-4.448692,6.8941927,boletus
-2.1110082,8.756292,boletus
-4.0467362,5.2724376,boletus
-5.4282074,5.314996,boletus
-3.9084163,7.586397,boletus
-5.839945,5.916202,boletus
-1.1111062,7.8289723,boletus
-1.2704219,7.733103,boletus
-6.3145237,6.488737,boletus
-2.9812915,8.794663,boletus
-5.16009,5.1275377,boletus
-2.815643,7.0980253,boletus
-5.692828,7.309919,boletus
-3.942056,7.266406,boletus
-0.95618033,8.377239,boletus
-0.7335945,8.316249,chantelle
-1.7938459,8.595631,chantelle
-6.553166,5.7449718,chantelle
-2.6646898,9.179345,chantelle
-3.1318474,8.751588,chantelle
0.038464833,8.587337,chantelle
-2.9916203,8.199207,chantelle
-3.6473978,8.617027,chantelle
-5.324806,5.936111,chantelle
-3.8033478,6.653856,chantelle
-1.5936506,9.104747,chantelle
3.1794603,8.094685,chantelle
4.1161547,7.7094073,chantelle
-5.8529906,5.9924636,chantelle
-3.550899,7.210309,chantelle
-2.7991126,9.025366,chantelle
