t-SNE 1,t-SNE 2,Class
21.854856,0.46557856,chantelle
29.909422,3.0235996,chantelle
34.95068,2.2277486,chantelle
34.369278,3.051241,chantelle
-9.164524,-9.008089,chantelle
22.193733,-5.384442,chantelle
34.574665,4.8501563,chantelle
34.325676,4.17479,chantelle
4.279008,6.7407026,chantelle
-12.826431,-6.6645904,chantelle
6.5280304,-2.2066846,chantelle
17.257738,1.6592745,chantelle
-14.532352,3.6121893,chantelle
33.498695,0.7703551,chantelle
-6.1927977,3.9805393,chantelle
22.385153,-0.042077474,chantelle
-3.2902174,5.9730873,chantelle
-2.183414,4.892862,chantelle
34.000614,2.3441172,chantelle
12.063669,1.7045933,chantelle
2.5071166,6.8968782,chantelle
33.7784,1.6386434,chantelle
4.0948334,2.5509264,chantelle
-13.320839,-1.5211978,chantelle
-13.25948,-6.7288275,chantelle
4.4060025,4.953246,chantelle
-11.7639,7.2286906,chantelle
3.1424384,5.72054,chantelle
5.0341105,7.799374,chantelle
7.7959566,5.8357906,chantelle
22.68697,1.1636531,chantelle
-7.456203,-0.1615105,chantelle
2.9972208,2.1111183,chantelle
-12.75725,-5.18917,chantelle
16.471033,0.33999935,chantelle
3.770248,4.1898537,chantelle
-5.59299,7.300967,chantelle
3.0280106,-4.697026,chantelle
5.600415,5.3435826,chantelle
-13.770609,6.300619,chantelle
2.5234292,-4.2268953,chantelle
7.3634753,6.669773,chantelle
-16.894112,1.6561515,chantelle
7.5951905,9.05931,chantelle
7.340366,-3.028534,chantelle
-18.135113,-6.1181674,chantelle
6.7641,8.610284,chantelle
-9.345266,-6.5419307,chantelle
7.5319405,8.275031,chantelle
-7.5647078,0.9170506,chantelle
20.18301,-0.16701537,chantelle
-16.294653,5.143194,chantelle
-0.7821921,9.672652,chantelle
-15.843514,10.576971,chantelle
-6.07214,0.34441718,chantelle
-21.205109,-0.66755337,chantelle
19.46105,1.6926061,chantelle
24.913809,-0.23369099,deterrimus
-10.031274,-2.1628213,deterrimus
-1.2028242,-3.912139,deterrimus
-12.162656,-5.3092995,deterrimus
-2.5332112,-4.9222617,deterrimus
9.831548,6.8340707,deterrimus
-8.852198,-4.759169,deterrimus
-0.9589599,13.661263,deterrimus
3.9176097,-2.1002738,deterrimus
-14.58654,-10.924142,deterrimus
-6.347965,1.557741,deterrimus
-10.891808,-1.6211321,deterrimus
-7.066678,-0.5271587,deterrimus
-19.050104,-6.880063,deterrimus
-13.227066,-9.610747,deterrimus
11.948686,-10.737009,deterrimus
-7.1416454,-2.00463,deterrimus
11.746426,-8.221463,deterrimus
-0.5907004,8.32193,deterrimus
-4.8269997,4.1128583,deterrimus
4.963956,4.178996,deterrimus
-18.063234,7.33614,deterrimus
-15.156885,-4.8118043,deterrimus
-15.498825,-12.380453,deterrimus
-12.426384,4.6543655,deterrimus
-11.738548,0.6124547,deterrimus
-3.4425223,-7.321824,deterrimus
-12.795991,1.7094576,deterrimus
0.9673302,-3.5763965,deterrimus
-22.400772,-0.09463012,deterrimus
4.9659705,4.181899,deterrimus
35.584267,-0.5152654,deterrimus
2.8559315,-16.043068,deterrimus
1.7903808,4.1602807,deterrimus
10.175054,-2.910846,deterrimus
16.231617,2.9650836,deterrimus
-12.193505,2.4792113,deterrimus
-11.082858,-8.269815,deterrimus
5.994317,9.117898,deterrimus
6.2928863,3.2955706,deterrimus
